PR-number,labels,created_date,creator_username,status,PR-title,PR-URL
3814,Codership,2025-02-04T08:23:50Z,janlindstrom,closed,MDEV-35941 : galera_bf_abort_lock_table fails with wait for metadata,https://github.com/MariaDB/server/pull/3814
3813,MariaDB Corporation,2025-02-03T17:07:06Z,DaveGosselin-MariaDB,open,MDEV-35510 ASAN build crashes during bootstrap,https://github.com/MariaDB/server/pull/3813
3812,MariaDB Corporation,2025-02-03T06:22:37Z,dr-m,closed,MDEV-33295 innodb.doublewrite occasionally fails,https://github.com/MariaDB/server/pull/3812
3811,MariaDB Corporation,2025-02-02T01:27:54Z,ParadoxV5,open,MDEV-27669: Add `skip-slave-start` info message,https://github.com/MariaDB/server/pull/3811
3810,MariaDB Corporation,2025-01-31T21:14:51Z,DaveGosselin-MariaDB,closed,"MDEV-35848, MDEV-35568 Reintroduce delete_while_scanning for multi_de…",https://github.com/MariaDB/server/pull/3810
3809,MariaDB Corporation,2025-01-31T12:03:13Z,vlad-lesin,closed,MDEV-34489 innodb.innodb_row_lock_time_ms fails,https://github.com/MariaDB/server/pull/3809
3808,Codership,2025-01-31T08:33:52Z,sciascid,closed,MDEV-35946 Assertion `thd->is_error()' failed in Sql_cmd_dml::prepare,https://github.com/MariaDB/server/pull/3808
3807,External Contribution,2025-01-31T07:39:25Z,iqbal-rsec,open,MDEV-13817: Add support for oracle's left join syntax - the ( + ) in sql_mode=oracle,https://github.com/MariaDB/server/pull/3807
3806,MariaDB Corporation,2025-01-30T15:56:05Z,DaveGosselin-MariaDB,open,MDEV-35960 st_isvalid(NULL) returns NULL,https://github.com/MariaDB/server/pull/3806
3805,MariaDB Corporation,2025-01-29T21:57:21Z,DaveGosselin-MariaDB,closed,MDEV-35975 Server crashes after CREATE VIEW as SELECT ST_COLLECT...,https://github.com/MariaDB/server/pull/3805
3804,MariaDB Corporation,2025-01-29T19:45:29Z,DaveGosselin-MariaDB,closed,MDEV-35955 Wrong result for UPDATE ... ORDER BY LIMIT using tmp.table,https://github.com/MariaDB/server/pull/3804
3803,Codership,2025-01-29T18:10:07Z,janlindstrom,closed,MDEV-35951 : Complete freeze during MW-329 test,https://github.com/MariaDB/server/pull/3803
3802,External Contribution,2025-01-29T11:08:48Z,eworm-de,open,[MDEV-35969] reset service manager status,https://github.com/MariaDB/server/pull/3802
3801,Codership,2025-01-29T11:05:50Z,janlindstrom,closed,MDEV-35941 : galera_bf_abort_lock_table fails with wait for metadata …,https://github.com/MariaDB/server/pull/3801
3800,MariaDB Corporation,2025-01-29T07:16:48Z,dr-m,closed,MDEV-35962 CREATE INDEX fails to heal a FOREIGN KEY constraint,https://github.com/MariaDB/server/pull/3800
3799,External Contribution,2025-01-28T21:54:28Z,ottok,closed,All-green GitLab CI in main branch in January 2025,https://github.com/MariaDB/server/pull/3799
3798,MariaDB Foundation,2025-01-28T20:47:27Z,svoj,closed,MDEV-35081 - Assertion `!n_mysql_tables_in_use' failed after error up…,https://github.com/MariaDB/server/pull/3798
3797,External Contribution,2025-01-28T08:39:36Z,iqbal-rsec,open,MDEV-34319: DECLARE TYPE .. TABLE OF .. INDEX BY in stored routines,https://github.com/MariaDB/server/pull/3797
3796,External Contribution,2025-01-28T07:58:43Z,iqbal-rsec,open,MDEV-34391 SET PATH variable and resolution for stored routine invocations,https://github.com/MariaDB/server/pull/3796
3795,MariaDB Corporation,2025-01-28T02:42:53Z,ParadoxV5,open,MDEV-35948: Test OG `replicate_*`s with long lists,https://github.com/MariaDB/server/pull/3795
3794,MariaDB Corporation,2025-01-27T20:17:45Z,DaveGosselin-MariaDB,closed,MDEV-35954 fix cast warnings on mac in mysql_file.h,https://github.com/MariaDB/server/pull/3794
3793,MariaDB Corporation,2025-01-27T12:47:05Z,Thirunarayanan,closed,MDEV-34591  InnoDB fails to rename index from lowercase to uppercase,https://github.com/MariaDB/server/pull/3793
3792,MariaDB Corporation,2025-01-27T10:15:50Z,dr-m,closed,MDEV-33978 P_S.THREADS is not showing all server threads,https://github.com/MariaDB/server/pull/3792
3791,MariaDB Corporation,2025-01-27T10:14:40Z,dr-m,closed,MDEV-33978 P_S.THREADS is not showing all server threads,https://github.com/MariaDB/server/pull/3791
3790,MariaDB Corporation,2025-01-27T07:15:30Z,Thirunarayanan,closed,MDEV-35937  InnoDB: Failing assertion: sym_node->table != NULL in pars_retrieve_table_def,https://github.com/MariaDB/server/pull/3790
3789,MariaDB Foundation,2025-01-23T19:57:53Z,cvicentiu,closed,MDEV-35921: s3.mysqldump fails in buildbot,https://github.com/MariaDB/server/pull/3789
3788,External Contribution,2025-01-23T19:54:35Z,FarihaIS,open,MDEV-31334: Consider dates ending in 'T' as malformed,https://github.com/MariaDB/server/pull/3788
3787,External Contribution,2025-01-23T19:38:39Z,amarjilani,open,MDEV-21375: Get option group suffix from $MARIADB_GROUP_SUFFIX in addition to $MYSQL_GROUP_SUFFIX,https://github.com/MariaDB/server/pull/3787
3786,External Contribution,2025-01-23T19:23:56Z,chenrui333,open,MDEV-35746 - cmake(libfmt): use find_package to find libfmt,https://github.com/MariaDB/server/pull/3786
3785,MariaDB Corporation,2025-01-23T14:36:09Z,vlad-lesin,closed,"11.4 MDEV-34877 Port ""Bug #11745929 Change lock priority so that the transaction holding S-lock gets X-lock first"" fix from MySQL to MariaDB",https://github.com/MariaDB/server/pull/3785
3784,MariaDB Corporation,2025-01-23T10:49:36Z,Thirunarayanan,closed,MDEV-35169  ALTER TABLE...IMPORT TABLESPACE does not work with INDEX DESC,https://github.com/MariaDB/server/pull/3784
3783,MariaDB Corporation,2025-01-22T23:21:33Z,vaintroub,closed,Update WolfSSL to the latest release 5.7.6,https://github.com/MariaDB/server/pull/3783
3782,MariaDB Corporation,2025-01-22T17:31:43Z,bnestere,closed,MDEV-35905: Revert CONC-710 induced mysqlbinlog FIXME,https://github.com/MariaDB/server/pull/3782
3781,MariaDB Corporation,2025-01-22T13:24:45Z,dr-m,closed,MDEV-29182 Assertion fld->field_no < table->n_v_def failed on cascade,https://github.com/MariaDB/server/pull/3781
3780,MariaDB Corporation,2025-01-21T05:18:15Z,ParadoxV5,open,MDEV-7611 mysqldump --dump-slave always starts stopped slave,https://github.com/MariaDB/server/pull/3780
3779,MariaDB Corporation,2025-01-20T13:38:50Z,vaintroub,closed,"MDEV-35891 mtr, Windows - fix multi-process append for stdout and stderr",https://github.com/MariaDB/server/pull/3779
3778,MariaDB Corporation,2025-01-20T13:35:56Z,vaintroub,closed,"  MDEV-35891 mtr, Windows - fix multi-process append for stdout and stderr",https://github.com/MariaDB/server/pull/3778
3777,MariaDB Foundation,2025-01-20T13:06:31Z,grooverdan,open,MDEV-35889 set information_schema.system_variables NUMERIC_MIN_VALUE for the innodb_buffer_pool_size system variable based on innodb_page_size,https://github.com/MariaDB/server/pull/3777
3776,MariaDB Corporation,2025-01-20T07:11:20Z,Thirunarayanan,closed,MDEV-35445   Disable foreign key column nullability check for strict sql mode,https://github.com/MariaDB/server/pull/3776
3775,MariaDB Foundation,2025-01-17T13:13:11Z,knielsen,open,DRAFT: MDEV-34705: Storing binlog in InnoDB,https://github.com/MariaDB/server/pull/3775
3774,MariaDB Corporation,2025-01-17T10:51:17Z,vaintroub,closed,MDEV-34703 followup - reenable Innodb bulk load in mariadb-import,https://github.com/MariaDB/server/pull/3774
3773,MariaDB Corporation,2025-01-17T10:40:01Z,dr-m,closed,MDEV-35723: applying non-zero offset to null pointer in INSERT,https://github.com/MariaDB/server/pull/3773
3772,MariaDB Corporation,2025-01-17T01:19:36Z,ParadoxV5,closed,MDEV-35693: Improve SSS column sizes,https://github.com/MariaDB/server/pull/3772
3771,MariaDB Corporation,2025-01-16T15:49:53Z,DaveGosselin-MariaDB,closed,MDEV-35632 HandlerSocket uses deprecated C++98 auto_ptr,https://github.com/MariaDB/server/pull/3771
3770,MariaDB Corporation,2025-01-16T13:48:52Z,vlad-lesin,closed,MDEV-35708 lock_rec_get_prev() returns only the first record lock,https://github.com/MariaDB/server/pull/3770
3769,Codership,2025-01-16T09:49:51Z,janlindstrom,closed,MDEV-35852 : ASAN heap-use-after-free in WSREP_DEBUG after INSERT DEL…,https://github.com/MariaDB/server/pull/3769
3768,Codership,2025-01-16T05:16:22Z,janlindstrom,closed,MDEV-35748 : Attempting to create a CONNECT engine Table results in n…,https://github.com/MariaDB/server/pull/3768
3767,MariaDB Corporation,2025-01-15T13:33:23Z,dr-m,closed,MDEV-35854 Clean up some DDL code around FOREIGN KEY constraints,https://github.com/MariaDB/server/pull/3767
3766,MariaDB Corporation,2025-01-15T05:35:51Z,dr-m,closed,MDEV-35849: index records in a wrong order,https://github.com/MariaDB/server/pull/3766
3765,MariaDB Foundation,2025-01-14T22:25:14Z,grooverdan,open,MDEV-35850 make HOSTNAME a cmake configure variable,https://github.com/MariaDB/server/pull/3765
3764,MariaDB Corporation,2025-01-14T20:08:23Z,ParadoxV5,closed,MDEV-35304 & MDEV-25674: Add `Connects_Tried` and `Master_Retry_Count` to SHOW REPLICA STATUS,https://github.com/MariaDB/server/pull/3764
3763,MariaDB Corporation,2025-01-14T17:42:50Z,DaveGosselin-MariaDB,open,MDEV-35847 mariadb client --wait flag broken,https://github.com/MariaDB/server/pull/3763
3762,MariaDB Corporation,2025-01-14T06:16:50Z,Olernov,closed,MDEV-32575 MSAN / Valgrind errors in test_if_cheaper_ordering upon re…,https://github.com/MariaDB/server/pull/3762
3761,MariaDB Foundation,2025-01-14T03:12:34Z,grooverdan,open,MDEV-12305 + others = Hurd upstream misc patches,https://github.com/MariaDB/server/pull/3761
3760,MariaDB Foundation,2025-01-14T00:35:40Z,grooverdan,closed,MDEV-35838 libressl support differences in CRYPTO_set_mem_functions,https://github.com/MariaDB/server/pull/3760
3759,MariaDB Foundation,2025-01-13T22:04:34Z,grooverdan,closed,MDEV-34825 FreeBSD fails to build under clang natively (postfix),https://github.com/MariaDB/server/pull/3759
3758,MariaDB Corporation,2025-01-13T20:59:12Z,DaveGosselin-MariaDB,closed,MDEV-35837 Move to c++17,https://github.com/MariaDB/server/pull/3758
3757,MariaDB Corporation,2025-01-13T18:44:28Z,bnestere,open,MDEV-35694: Mysqlbinlog --stop-position should warn if EOF not reached with --read-from-remote-server,https://github.com/MariaDB/server/pull/3757
3756,MariaDB Corporation,2025-01-13T16:38:24Z,bnestere,closed,MDEV-35096: History is stored in different partitions on different nodes when using SYSTEM VERSION,https://github.com/MariaDB/server/pull/3756
3755,MariaDB Corporation,2025-01-13T12:21:47Z,dr-m,closed,MDEV-35830 Fix innodb_undo_log_truncate in backup,https://github.com/MariaDB/server/pull/3755
3754,MariaDB Corporation,2025-01-13T08:45:57Z,dr-m,closed,MDEV-35810 Missing error handling in log resizing,https://github.com/MariaDB/server/pull/3754
3753,Codership,2025-01-13T08:20:12Z,sciascid,open,MDEV-35658 Assertion `commit_trx' failed in test galera_as_master,https://github.com/MariaDB/server/pull/3753
3752,MariaDB Corporation,2025-01-13T07:23:30Z,dr-m,closed,MDEV-35827 The generic MY_RELAX_CPU is expensive,https://github.com/MariaDB/server/pull/3752
3751,MariaDB Corporation,2025-01-13T05:45:11Z,Thirunarayanan,closed,MDEV-34703  LOAD DATA INFILE using Innodb bulk load aborts,https://github.com/MariaDB/server/pull/3751
3750,MariaDB Foundation,2025-01-12T02:48:15Z,grooverdan,closed,MDEV-35687 Various UBSAN function-type-mismatch debug_sync and myisam,https://github.com/MariaDB/server/pull/3750
3749,MariaDB Corporation,2025-01-10T22:51:17Z,ParadoxV5,closed,more MDEV-35429 my_snprintf fixes for 10.5+,https://github.com/MariaDB/server/pull/3749
3748,MariaDB Corporation,2025-01-10T22:28:38Z,ParadoxV5,closed,MDEV-35430: Add cast to semi-sync wait skip msg,https://github.com/MariaDB/server/pull/3748
3747,MariaDB Corporation,2025-01-10T21:56:42Z,ParadoxV5,closed,MDEV-35431: fix InnoDB flags error size specifier,https://github.com/MariaDB/server/pull/3747
3746,MariaDB Corporation,2025-01-10T21:37:20Z,ParadoxV5,closed,MDEV-35818: Fix `replace_binlog_file` info message,https://github.com/MariaDB/server/pull/3746
3745,MariaDB Foundation,2025-01-10T14:57:49Z,knielsen,closed,"MDEV-35806: Error in read_log_event() corrupts relay log writer, cras…",https://github.com/MariaDB/server/pull/3745
3744,MariaDB Foundation,2025-01-10T08:17:01Z,cvicentiu,closed,Fix -DBUILD_CONFIG=mysql_release to keep standard cmake flags,https://github.com/MariaDB/server/pull/3744
3743,MariaDB Corporation,2025-01-10T07:04:05Z,Thirunarayanan,closed,MDEV-35808 Test case to handle undo tablespace truncation in Mariabackup,https://github.com/MariaDB/server/pull/3743
3742,,2025-01-10T06:24:02Z,dr-m,closed,MDEV-35802 Race condition in log_t::persist(),https://github.com/MariaDB/server/pull/3742
3741,MariaDB Corporation,2025-01-09T13:33:27Z,DaveGosselin-MariaDB,closed,MDEV-35805 Update main.lowercase_table4 for new default collation,https://github.com/MariaDB/server/pull/3741
3740,MariaDB Corporation,2025-01-09T13:06:00Z,DaveGosselin-MariaDB,open,MDEV-35765 ST_OVERLAPS wrong result when dim(geom1) <> dim(geom2),https://github.com/MariaDB/server/pull/3740
3739,MariaDB Corporation,2025-01-09T12:59:59Z,DaveGosselin-MariaDB,closed,MDEV-35510 ASAN build crashes during bootstrap,https://github.com/MariaDB/server/pull/3739
